Epoch 1, Training Loss: 0.9552, Validation Loss: 0.9717
Epoch 89, Training Loss: 0.0069, Validation Loss: 0.0044
Epoch 90, Training Loss: 0.0061, Validation Loss: 0.0054
Epoch 91, Training Loss: 0.0061, Validation Loss: 0.0067
Epoch 92, Training Loss: 0.0063, Validation Loss: 0.0061
Epoch 93, Training Loss: 0.0068, Validation Loss: 0.0052
Epoch 94, Training Loss: 0.0064, Validation Loss: 0.0063
Epoch 95, Training Loss: 0.0062, Validation Loss: 0.0077
Epoch 96, Training Loss: 0.0061, Validation Loss: 0.0053
Epoch 97, Training Loss: 0.0062, Validation Loss: 0.0055
Epoch 98, Training Loss: 0.0068, Validation Loss: 0.0204
Epoch 99, Training Loss: 0.0095, Validation Loss: 0.0041
Epoch 100, Training Loss: 0.0071, Validation Loss: 0.0048
Epoch 101, Training Loss: 0.0061, Validation Loss: 0.0076
Epoch 102, Training Loss: 0.0059, Validation Loss: 0.0047
Epoch 103, Training Loss: 0.0059, Validation Loss: 0.0099
Epoch 104, Training Loss: 0.0065, Validation Loss: 0.0047
Epoch 105, Training Loss: 0.0062, Validation Loss: 0.0044
Epoch 106, Training Loss: 0.0058, Validation Loss: 0.0062
Epoch 107, Training Loss: 0.0057, Validation Loss: 0.0062
Epoch 108, Training Loss: 0.0066, Validation Loss: 0.0048
Epoch 109, Training Loss: 0.0058, Validation Loss: 0.0050
Epoch 110, Training Loss: 0.0061, Validation Loss: 0.0053
Epoch 111, Training Loss: 0.0060, Validation Loss: 0.0075
Epoch 112, Training Loss: 0.0073, Validation Loss: 0.0079
Epoch 113, Training Loss: 0.0065, Validation Loss: 0.0045
Epoch 114, Training Loss: 0.0066, Validation Loss: 0.0049
Epoch 115, Training Loss: 0.0076, Validation Loss: 0.0091
Epoch 116, Training Loss: 0.0075, Validation Loss: 0.0057
Epoch 117, Training Loss: 0.0064, Validation Loss: 0.0062
Epoch 118, Training Loss: 0.0068, Validation Loss: 0.0044
Epoch 119, Training Loss: 0.0062, Validation Loss: 0.0052
Epoch 120, Training Loss: 0.0059, Validation Loss: 0.0091
Epoch 121, Training Loss: 0.0068, Validation Loss: 0.0043
Epoch 122, Training Loss: 0.0059, Validation Loss: 0.0052
Epoch 123, Training Loss: 0.0068, Validation Loss: 0.0131
Epoch 124, Training Loss: 0.0077, Validation Loss: 0.0056
Epoch 125, Training Loss: 0.0065, Validation Loss: 0.0049
Epoch 126, Training Loss: 0.0066, Validation Loss: 0.0061
Epoch 127, Training Loss: 0.0060, Validation Loss: 0.0055
Epoch 128, Training Loss: 0.0058, Validation Loss: 0.0058
Epoch 129, Training Loss: 0.0055, Validation Loss: 0.0057
Epoch 130, Training Loss: 0.0058, Validation Loss: 0.0045
Epoch 131, Training Loss: 0.0065, Validation Loss: 0.0052
Epoch 132, Training Loss: 0.0061, Validation Loss: 0.0136
Epoch 133, Training Loss: 0.0082, Validation Loss: 0.0066
Epoch 134, Training Loss: 0.0080, Validation Loss: 0.0045
Epoch 135, Training Loss: 0.0076, Validation Loss: 0.0051
Epoch 136, Training Loss: 0.0061, Validation Loss: 0.0097
Epoch 137, Training Loss: 0.0072, Validation Loss: 0.0063
Epoch 138, Training Loss: 0.0091, Validation Loss: 0.0074
Epoch 139, Training Loss: 0.0058, Validation Loss: 0.0046
Epoch 140, Training Loss: 0.0056, Validation Loss: 0.0071
Epoch 141, Training Loss: 0.0061, Validation Loss: 0.0047
Epoch 142, Training Loss: 0.0067, Validation Loss: 0.0056
Epoch 143, Training Loss: 0.0070, Validation Loss: 0.0091
Epoch 144, Training Loss: 0.0066, Validation Loss: 0.0048
Epoch 145, Training Loss: 0.0063, Validation Loss: 0.0054
Epoch 146, Training Loss: 0.0061, Validation Loss: 0.0086
Epoch 147, Training Loss: 0.0072, Validation Loss: 0.0044
Epoch 148, Training Loss: 0.0070, Validation Loss: 0.0048
Epoch 149, Training Loss: 0.0070, Validation Loss: 0.0143
Epoch 150, Training Loss: 0.0085, Validation Loss: 0.0051
Epoch 151, Training Loss: 0.0068, Validation Loss: 0.0045
Epoch 152, Training Loss: 0.0060, Validation Loss: 0.0066
Epoch 153, Training Loss: 0.0065, Validation Loss: 0.0085
Epoch 154, Training Loss: 0.0067, Validation Loss: 0.0050
Epoch 155, Training Loss: 0.0067, Validation Loss: 0.0065
Epoch 156, Training Loss: 0.0060, Validation Loss: 0.0077
Epoch 157, Training Loss: 0.0071, Validation Loss: 0.0056
Epoch 158, Training Loss: 0.0062, Validation Loss: 0.0049
Epoch 159, Training Loss: 0.0062, Validation Loss: 0.0078
Epoch 160, Training Loss: 0.0063, Validation Loss: 0.0065
Epoch 161, Training Loss: 0.0065, Validation Loss: 0.0050
Epoch 162, Training Loss: 0.0082, Validation Loss: 0.0061
Epoch 163, Training Loss: 0.0075, Validation Loss: 0.0097
Epoch 164, Training Loss: 0.0076, Validation Loss: 0.0043
Epoch 165, Training Loss: 0.0064, Validation Loss: 0.0067
Epoch 166, Training Loss: 0.0060, Validation Loss: 0.0068
Epoch 167, Training Loss: 0.0060, Validation Loss: 0.0048
Epoch 168, Training Loss: 0.0058, Validation Loss: 0.0060
Epoch 169, Training Loss: 0.0058, Validation Loss: 0.0048
Epoch 170, Training Loss: 0.0061, Validation Loss: 0.0045
Epoch 171, Training Loss: 0.0063, Validation Loss: 0.0094
Epoch 172, Training Loss: 0.0064, Validation Loss: 0.0055
Epoch 173, Training Loss: 0.0058, Validation Loss: 0.0047
Epoch 174, Training Loss: 0.0060, Validation Loss: 0.0049
Epoch 175, Training Loss: 0.0059, Validation Loss: 0.0069
Epoch 176, Training Loss: 0.0059, Validation Loss: 0.0057
Epoch 177, Training Loss: 0.0061, Validation Loss: 0.0046
Epoch 178, Training Loss: 0.0064, Validation Loss: 0.0045
Epoch 179, Training Loss: 0.0061, Validation Loss: 0.0079
Epoch 180, Training Loss: 0.0059, Validation Loss: 0.0052
Epoch 181, Training Loss: 0.0059, Validation Loss: 0.0047
Epoch 182, Training Loss: 0.0058, Validation Loss: 0.0055
Epoch 183, Training Loss: 0.0057, Validation Loss: 0.0081
Epoch 184, Training Loss: 0.0060, Validation Loss: 0.0052
Epoch 185, Training Loss: 0.0062, Validation Loss: 0.0060
Epoch 186, Training Loss: 0.0057, Validation Loss: 0.0053
Epoch 187, Training Loss: 0.0058, Validation Loss: 0.0077
Epoch 188, Training Loss: 0.0057, Validation Loss: 0.0050
Epoch 189, Training Loss: 0.0058, Validation Loss: 0.0047
Epoch 190, Training Loss: 0.0060, Validation Loss: 0.0059
Epoch 191, Training Loss: 0.0058, Validation Loss: 0.0059
Epoch 192, Training Loss: 0.0064, Validation Loss: 0.0130
Epoch 193, Training Loss: 0.0086, Validation Loss: 0.0088
Epoch 194, Training Loss: 0.0125, Validation Loss: 0.0142
Epoch 195, Training Loss: 0.0151, Validation Loss: 0.0225
Epoch 196, Training Loss: 0.0141, Validation Loss: 0.0068
Epoch 197, Training Loss: 0.0131, Validation Loss: 0.0096
Epoch 198, Training Loss: 0.0098, Validation Loss: 0.0141
Epoch 199, Training Loss: 0.0114, Validation Loss: 0.0046
Epoch 200, Training Loss: 0.0098, Validation Loss: 0.0118
Epoch 201, Training Loss: 0.0106, Validation Loss: 0.0058
Epoch 202, Training Loss: 0.0079, Validation Loss: 0.0074
Epoch 203, Training Loss: 0.0064, Validation Loss: 0.0050
Epoch 204, Training Loss: 0.0073, Validation Loss: 0.0044
Epoch 205, Training Loss: 0.0068, Validation Loss: 0.0087
Epoch 206, Training Loss: 0.0061, Validation Loss: 0.0053
Epoch 207, Training Loss: 0.0061, Validation Loss: 0.0053
Epoch 208, Training Loss: 0.0058, Validation Loss: 0.0051
Epoch 209, Training Loss: 0.0061, Validation Loss: 0.0045
Epoch 210, Training Loss: 0.0058, Validation Loss: 0.0063
Epoch 211, Training Loss: 0.0056, Validation Loss: 0.0045
Epoch 212, Training Loss: 0.0057, Validation Loss: 0.0062
Epoch 213, Training Loss: 0.0059, Validation Loss: 0.0052
Epoch 214, Training Loss: 0.0059, Validation Loss: 0.0084
Epoch 215, Training Loss: 0.0063, Validation Loss: 0.0073
Epoch 216, Training Loss: 0.0063, Validation Loss: 0.0051
Epoch 217, Training Loss: 0.0078, Validation Loss: 0.0044
Epoch 218, Training Loss: 0.0086, Validation Loss: 0.0077
Epoch 219, Training Loss: 0.0063, Validation Loss: 0.0060
Epoch 220, Training Loss: 0.0062, Validation Loss: 0.0054
Epoch 221, Training Loss: 0.0064, Validation Loss: 0.0098
Epoch 222, Training Loss: 0.0072, Validation Loss: 0.0072
Epoch 223, Training Loss: 0.0068, Validation Loss: 0.0045
Epoch 224, Training Loss: 0.0059, Validation Loss: 0.0054
Epoch 225, Training Loss: 0.0064, Validation Loss: 0.0057
Epoch 226, Training Loss: 0.0063, Validation Loss: 0.0077
Epoch 227, Training Loss: 0.0062, Validation Loss: 0.0048
Epoch 228, Training Loss: 0.0059, Validation Loss: 0.0051
Epoch 229, Training Loss: 0.0056, Validation Loss: 0.0067
Epoch 230, Training Loss: 0.0055, Validation Loss: 0.0045
Epoch 231, Training Loss: 0.0057, Validation Loss: 0.0082
Epoch 232, Training Loss: 0.0059, Validation Loss: 0.0050
Epoch 233, Training Loss: 0.0062, Validation Loss: 0.0045
Epoch 234, Training Loss: 0.0069, Validation Loss: 0.0078
Epoch 235, Training Loss: 0.0059, Validation Loss: 0.0063
Epoch 236, Training Loss: 0.0062, Validation Loss: 0.0044
Epoch 237, Training Loss: 0.0057, Validation Loss: 0.0058
Epoch 238, Training Loss: 0.0059, Validation Loss: 0.0065
Epoch 239, Training Loss: 0.0059, Validation Loss: 0.0076
Epoch 240, Training Loss: 0.0063, Validation Loss: 0.0054
Epoch 241, Training Loss: 0.0056, Validation Loss: 0.0046
Epoch 242, Training Loss: 0.0059, Validation Loss: 0.0057
Epoch 243, Training Loss: 0.0057, Validation Loss: 0.0044
Epoch 244, Training Loss: 0.0061, Validation Loss: 0.0049
Epoch 245, Training Loss: 0.0057, Validation Loss: 0.0050
Epoch 246, Training Loss: 0.0057, Validation Loss: 0.0079
Epoch 247, Training Loss: 0.0063, Validation Loss: 0.0056
Epoch 248, Training Loss: 0.0058, Validation Loss: 0.0047
Epoch 249, Training Loss: 0.0061, Validation Loss: 0.0105
Epoch 250, Training Loss: 0.0073, Validation Loss: 0.0046
Epoch 251, Training Loss: 0.0068, Validation Loss: 0.0045
Epoch 252, Training Loss: 0.0068, Validation Loss: 0.0047
Epoch 253, Training Loss: 0.0068, Validation Loss: 0.0072
Epoch 254, Training Loss: 0.0060, Validation Loss: 0.0068
Epoch 255, Training Loss: 0.0074, Validation Loss: 0.0048
Epoch 256, Training Loss: 0.0064, Validation Loss: 0.0043
Epoch 257, Training Loss: 0.0077, Validation Loss: 0.0088
Epoch 258, Training Loss: 0.0060, Validation Loss: 0.0044
Epoch 259, Training Loss: 0.0063, Validation Loss: 0.0052
Epoch 260, Training Loss: 0.0061, Validation Loss: 0.0100
Epoch 261, Training Loss: 0.0063, Validation Loss: 0.0043
Epoch 262, Training Loss: 0.0066, Validation Loss: 0.0046
Epoch 263, Training Loss: 0.0066, Validation Loss: 0.0070
Epoch 264, Training Loss: 0.0056, Validation Loss: 0.0043
Epoch 265, Training Loss: 0.0058, Validation Loss: 0.0073
Epoch 266, Training Loss: 0.0058, Validation Loss: 0.0062
Epoch 267, Training Loss: 0.0060, Validation Loss: 0.0051
Epoch 268, Training Loss: 0.0059, Validation Loss: 0.0057
Epoch 269, Training Loss: 0.0060, Validation Loss: 0.0056
Epoch 270, Training Loss: 0.0056, Validation Loss: 0.0048
Epoch 271, Training Loss: 0.0062, Validation Loss: 0.0061
Epoch 272, Training Loss: 0.0063, Validation Loss: 0.0053
Epoch 273, Training Loss: 0.0064, Validation Loss: 0.0079
Epoch 274, Training Loss: 0.0067, Validation Loss: 0.0054
Epoch 275, Training Loss: 0.0064, Validation Loss: 0.0050
Epoch 276, Training Loss: 0.0066, Validation Loss: 0.0094
Epoch 277, Training Loss: 0.0065, Validation Loss: 0.0044
Epoch 278, Training Loss: 0.0058, Validation Loss: 0.0072
Epoch 279, Training Loss: 0.0060, Validation Loss: 0.0055
Epoch 280, Training Loss: 0.0056, Validation Loss: 0.0060
Epoch 281, Training Loss: 0.0061, Validation Loss: 0.0044
Epoch 282, Training Loss: 0.0067, Validation Loss: 0.0116
Epoch 283, Training Loss: 0.0069, Validation Loss: 0.0049
Epoch 284, Training Loss: 0.0064, Validation Loss: 0.0042
Epoch 285, Training Loss: 0.0060, Validation Loss: 0.0091
Epoch 286, Training Loss: 0.0063, Validation Loss: 0.0068
Epoch 287, Training Loss: 0.0067, Validation Loss: 0.0046
Epoch 288, Training Loss: 0.0069, Validation Loss: 0.0089
Epoch 289, Training Loss: 0.0063, Validation Loss: 0.0057
Epoch 290, Training Loss: 0.0062, Validation Loss: 0.0052
Epoch 291, Training Loss: 0.0066, Validation Loss: 0.0047
Epoch 292, Training Loss: 0.0063, Validation Loss: 0.0044
Epoch 293, Training Loss: 0.0060, Validation Loss: 0.0073
Epoch 294, Training Loss: 0.0058, Validation Loss: 0.0052
Epoch 295, Training Loss: 0.0055, Validation Loss: 0.0072
Epoch 296, Training Loss: 0.0062, Validation Loss: 0.0086
Epoch 297, Training Loss: 0.0069, Validation Loss: 0.0048
Epoch 298, Training Loss: 0.0060, Validation Loss: 0.0079
Epoch 299, Training Loss: 0.0058, Validation Loss: 0.0048
Epoch 300, Training Loss: 0.0058, Validation Loss: 0.0044
Epoch 301, Training Loss: 0.0067, Validation Loss: 0.0055
Epoch 302, Training Loss: 0.0061, Validation Loss: 0.0116
Epoch 303, Training Loss: 0.0090, Validation Loss: 0.0075
Epoch 304, Training Loss: 0.0090, Validation Loss: 0.0121
Epoch 305, Training Loss: 0.0079, Validation Loss: 0.0120
Epoch 306, Training Loss: 0.0149, Validation Loss: 0.0406
Epoch 307, Training Loss: 0.0305, Validation Loss: 0.0148
Epoch 308, Training Loss: 0.0242, Validation Loss: 0.0418
Epoch 309, Training Loss: 0.0266, Validation Loss: 0.0140
Epoch 310, Training Loss: 0.0159, Validation Loss: 0.0099
Epoch 311, Training Loss: 0.0079, Validation Loss: 0.0048
Epoch 312, Training Loss: 0.0079, Validation Loss: 0.0082
Epoch 313, Training Loss: 0.0063, Validation Loss: 0.0050
Epoch 314, Training Loss: 0.0062, Validation Loss: 0.0048
Epoch 315, Training Loss: 0.0067, Validation Loss: 0.0097
Epoch 316, Training Loss: 0.0066, Validation Loss: 0.0056
Epoch 317, Training Loss: 0.0061, Validation Loss: 0.0045
Epoch 318, Training Loss: 0.0059, Validation Loss: 0.0070
Epoch 319, Training Loss: 0.0056, Validation Loss: 0.0048
Epoch 320, Training Loss: 0.0060, Validation Loss: 0.0046
Epoch 321, Training Loss: 0.0067, Validation Loss: 0.0133
Epoch 322, Training Loss: 0.0079, Validation Loss: 0.0043
Epoch 323, Training Loss: 0.0070, Validation Loss: 0.0047
Epoch 324, Training Loss: 0.0065, Validation Loss: 0.0080
Epoch 325, Training Loss: 0.0064, Validation Loss: 0.0046
Epoch 326, Training Loss: 0.0059, Validation Loss: 0.0057
Epoch 327, Training Loss: 0.0061, Validation Loss: 0.0087
Epoch 328, Training Loss: 0.0065, Validation Loss: 0.0058
Epoch 329, Training Loss: 0.0059, Validation Loss: 0.0080
Epoch 330, Training Loss: 0.0066, Validation Loss: 0.0047
Epoch 331, Training Loss: 0.0076, Validation Loss: 0.0042
Epoch 332, Training Loss: 0.0069, Validation Loss: 0.0085
Epoch 333, Training Loss: 0.0066, Validation Loss: 0.0044
Epoch 334, Training Loss: 0.0058, Validation Loss: 0.0086
Epoch 335, Training Loss: 0.0067, Validation Loss: 0.0066
Epoch 336, Training Loss: 0.0064, Validation Loss: 0.0054
Epoch 337, Training Loss: 0.0065, Validation Loss: 0.0054
Epoch 338, Training Loss: 0.0070, Validation Loss: 0.0084
Epoch 339, Training Loss: 0.0066, Validation Loss: 0.0054
Epoch 340, Training Loss: 0.0063, Validation Loss: 0.0044
Epoch 341, Training Loss: 0.0059, Validation Loss: 0.0076
Epoch 342, Training Loss: 0.0055, Validation Loss: 0.0046
Epoch 343, Training Loss: 0.0064, Validation Loss: 0.0101
Epoch 344, Training Loss: 0.0075, Validation Loss: 0.0047
Epoch 345, Training Loss: 0.0067, Validation Loss: 0.0050
Epoch 346, Training Loss: 0.0059, Validation Loss: 0.0057
Epoch 347, Training Loss: 0.0059, Validation Loss: 0.0050
Epoch 348, Training Loss: 0.0060, Validation Loss: 0.0048
Epoch 349, Training Loss: 0.0065, Validation Loss: 0.0131
Epoch 350, Training Loss: 0.0070, Validation Loss: 0.0041
Epoch 351, Training Loss: 0.0069, Validation Loss: 0.0059
Epoch 352, Training Loss: 0.0062, Validation Loss: 0.0067
Epoch 353, Training Loss: 0.0062, Validation Loss: 0.0058
Epoch 354, Training Loss: 0.0065, Validation Loss: 0.0048
Epoch 355, Training Loss: 0.0075, Validation Loss: 0.0108
Epoch 356, Training Loss: 0.0076, Validation Loss: 0.0053
Epoch 357, Training Loss: 0.0064, Validation Loss: 0.0045
Epoch 358, Training Loss: 0.0070, Validation Loss: 0.0092
Epoch 359, Training Loss: 0.0061, Validation Loss: 0.0048
Epoch 360, Training Loss: 0.0056, Validation Loss: 0.0062
Epoch 361, Training Loss: 0.0055, Validation Loss: 0.0046
Epoch 362, Training Loss: 0.0074, Validation Loss: 0.0085
Epoch 363, Training Loss: 0.0073, Validation Loss: 0.0083
Epoch 364, Training Loss: 0.0068, Validation Loss: 0.0043
Epoch 365, Training Loss: 0.0060, Validation Loss: 0.0069
Epoch 366, Training Loss: 0.0057, Validation Loss: 0.0043
Epoch 367, Training Loss: 0.0058, Validation Loss: 0.0076
Epoch 368, Training Loss: 0.0062, Validation Loss: 0.0049
Epoch 369, Training Loss: 0.0066, Validation Loss: 0.0044
Epoch 370, Training Loss: 0.0061, Validation Loss: 0.0075
Epoch 371, Training Loss: 0.0058, Validation Loss: 0.0049
Epoch 372, Training Loss: 0.0057, Validation Loss: 0.0071
Epoch 373, Training Loss: 0.0057, Validation Loss: 0.0045
Epoch 374, Training Loss: 0.0059, Validation Loss: 0.0084
Epoch 375, Training Loss: 0.0067, Validation Loss: 0.0062
Epoch 376, Training Loss: 0.0062, Validation Loss: 0.0046
Epoch 377, Training Loss: 0.0063, Validation Loss: 0.0074
Epoch 378, Training Loss: 0.0059, Validation Loss: 0.0055
Epoch 379, Training Loss: 0.0057, Validation Loss: 0.0046
Epoch 380, Training Loss: 0.0057, Validation Loss: 0.0079
Epoch 381, Training Loss: 0.0061, Validation Loss: 0.0050
Epoch 382, Training Loss: 0.0057, Validation Loss: 0.0056
Epoch 383, Training Loss: 0.0057, Validation Loss: 0.0056
Epoch 384, Training Loss: 0.0058, Validation Loss: 0.0052
Epoch 385, Training Loss: 0.0054, Validation Loss: 0.0072
Epoch 386, Training Loss: 0.0058, Validation Loss: 0.0056
Epoch 387, Training Loss: 0.0057, Validation Loss: 0.0045
Epoch 388, Training Loss: 0.0064, Validation Loss: 0.0161
Epoch 389, Training Loss: 0.0069, Validation Loss: 0.0044
Epoch 390, Training Loss: 0.0057, Validation Loss: 0.0076
Epoch 391, Training Loss: 0.0060, Validation Loss: 0.0046
Epoch 392, Training Loss: 0.0060, Validation Loss: 0.0075
Epoch 393, Training Loss: 0.0064, Validation Loss: 0.0059
Epoch 394, Training Loss: 0.0068, Validation Loss: 0.0069
Epoch 395, Training Loss: 0.0058, Validation Loss: 0.0047
Epoch 396, Training Loss: 0.0062, Validation Loss: 0.0050
Epoch 397, Training Loss: 0.0062, Validation Loss: 0.0121
Epoch 398, Training Loss: 0.0068, Validation Loss: 0.0048
Epoch 399, Training Loss: 0.0066, Validation Loss: 0.0059
Epoch 400, Training Loss: 0.0058, Validation Loss: 0.0067
Epoch 401, Training Loss: 0.0058, Validation Loss: 0.0049
Epoch 402, Training Loss: 0.0058, Validation Loss: 0.0049
Epoch 403, Training Loss: 0.0058, Validation Loss: 0.0078
Epoch 404, Training Loss: 0.0063, Validation Loss: 0.0059
Epoch 405, Training Loss: 0.0062, Validation Loss: 0.0045
Epoch 406, Training Loss: 0.0062, Validation Loss: 0.0083
Epoch 407, Training Loss: 0.0064, Validation Loss: 0.0060
Epoch 408, Training Loss: 0.0067, Validation Loss: 0.0047
Epoch 409, Training Loss: 0.0058, Validation Loss: 0.0083
Epoch 410, Training Loss: 0.0061, Validation Loss: 0.0047
Epoch 411, Training Loss: 0.0065, Validation Loss: 0.0106
Epoch 412, Training Loss: 0.0072, Validation Loss: 0.0062
Epoch 413, Training Loss: 0.0058, Validation Loss: 0.0045
Epoch 414, Training Loss: 0.0069, Validation Loss: 0.0122
Epoch 415, Training Loss: 0.0072, Validation Loss: 0.0051
Epoch 416, Training Loss: 0.0060, Validation Loss: 0.0062
Epoch 417, Training Loss: 0.0060, Validation Loss: 0.0057
Epoch 418, Training Loss: 0.0061, Validation Loss: 0.0066
Epoch 419, Training Loss: 0.0063, Validation Loss: 0.0072
Epoch 420, Training Loss: 0.0092, Validation Loss: 0.0058
Epoch 421, Training Loss: 0.0135, Validation Loss: 0.0088
Epoch 422, Training Loss: 0.0115, Validation Loss: 0.0122
Epoch 423, Training Loss: 0.0096, Validation Loss: 0.0053
Epoch 424, Training Loss: 0.0073, Validation Loss: 0.0048
Epoch 425, Training Loss: 0.0082, Validation Loss: 0.0155
Epoch 426, Training Loss: 0.0095, Validation Loss: 0.0054
Epoch 427, Training Loss: 0.0073, Validation Loss: 0.0103
Epoch 428, Training Loss: 0.0078, Validation Loss: 0.0062
Epoch 429, Training Loss: 0.0066, Validation Loss: 0.0048
Epoch 430, Training Loss: 0.0058, Validation Loss: 0.0053
Epoch 431, Training Loss: 0.0060, Validation Loss: 0.0081
Epoch 432, Training Loss: 0.0060, Validation Loss: 0.0055
Epoch 433, Training Loss: 0.0064, Validation Loss: 0.0044
Epoch 434, Training Loss: 0.0066, Validation Loss: 0.0072
Epoch 435, Training Loss: 0.0060, Validation Loss: 0.0070
Epoch 436, Training Loss: 0.0068, Validation Loss: 0.0044
